CMDLINE ./NetAnim
MEM 594.199219 1683232440.7754
MEM 595.746094 1683232440.8764
MEM 597.292969 1683232440.9769
MEM 598.839844 1683232441.0775
MEM 600.386719 1683232441.1777
MEM 601.933594 1683232441.2783
MEM 603.738281 1683232441.3789
MEM 605.027344 1683232441.4792
MEM 606.574219 1683232441.5795
MEM 608.121094 1683232441.6797
MEM 609.667969 1683232441.7800
MEM 611.214844 1683232441.8809
MEM 613.019531 1683232441.9818
MEM 614.566406 1683232442.0819
MEM 618.433594 1683232442.1825
MEM 628.230469 1683232442.2831
MEM 639.832031 1683232442.3834
MEM 650.144531 1683232442.4837
MEM 658.652344 1683232442.5844
MEM 662.003906 1683232442.6852
MEM 663.035156 1683232442.7857
MEM 663.292969 1683232442.8859
MEM 663.292969 1683232442.9865
MEM 663.550781 1683232443.0868
MEM 663.808594 1683232443.1870
MEM 663.808594 1683232443.2874
MEM 664.066406 1683232443.3878
MEM 664.324219 1683232443.4880
MEM 664.839844 1683232443.5886
MEM 666.128906 1683232443.6890
MEM 667.675781 1683232443.7896
MEM 669.222656 1683232443.8898
MEM 670.511719 1683232443.9906
MEM 671.800781 1683232444.0909
MEM 673.089844 1683232444.1910
MEM 674.378906 1683232444.2913
MEM 675.925781 1683232444.3921
MEM 677.472656 1683232444.4923
MEM 679.019531 1683232444.5930
MEM 680.566406 1683232444.6940
MEM 682.113281 1683232444.7945
MEM 683.660156 1683232444.8952
MEM 685.207031 1683232444.9954
MEM 686.753906 1683232445.0961
MEM 688.300781 1683232445.1963
MEM 689.847656 1683232445.2969
MEM 691.394531 1683232445.3987
MEM 692.941406 1683232445.4994
MEM 694.488281 1683232445.5996
MEM 696.035156 1683232445.7001
MEM 697.582031 1683232445.8003
MEM 699.128906 1683232445.9005
MEM 700.675781 1683232446.0008
MEM 702.222656 1683232446.1012
MEM 721.039062 1683232446.2023
MEM 811.015625 1683232446.3028
MEM 902.796875 1683232446.4043
MEM 989.164062 1683232446.5049
MEM 1076.304688 1683232446.6053
MEM 1161.125000 1683232446.7070
MEM 1246.718750 1683232446.8092
MEM 1333.085938 1683232446.9099
MEM 1414.554688 1683232447.0114
MEM 1498.859375 1683232447.1132
MEM 1540.367188 1683232447.2147
MEM 1540.367188 1683232447.3150
MEM 1540.367188 1683232447.4152
MEM 1540.367188 1683232447.5164
MEM 1599.664062 1683232447.6186
MEM 1697.632812 1683232447.7215
MEM 1793.281250 1683232447.8222
MEM 1891.765625 1683232447.9267
MEM 1981.484375 1683232448.0280
MEM 2073.007812 1683232448.1310
MEM 2163.500000 1683232448.2320
MEM 2252.960938 1683232448.3356
MEM 2345.000000 1683232448.4364
MEM 2435.234375 1683232448.5371
MEM 2527.273438 1683232448.6406
MEM 2619.570312 1683232448.7429
MEM 2709.289062 1683232448.8442
MEM 2801.328125 1683232448.9463
MEM 2891.562500 1683232449.0471
MEM 2981.539062 1683232449.1484
MEM 3071.515625 1683232449.2497
MEM 3161.492188 1683232449.3503
MEM 2377.609375 1683232449.4510
MEM 2377.609375 1683232449.5521
MEM 2377.609375 1683232449.6534
MEM 2377.609375 1683232449.7542
MEM 2301.843750 1683232449.8545
MEM 710.437500 1683232449.9630
MEM 709.535156 1683232450.0713
MEM 709.535156 1683232450.1729
MEM 709.535156 1683232450.2746
MEM 709.535156 1683232450.3753
MEM 709.535156 1683232450.4852
MEM 709.535156 1683232450.5863
MEM 709.535156 1683232450.6866
MEM 709.535156 1683232450.7869
MEM 709.535156 1683232450.8913
MEM 709.535156 1683232450.9918
MEM 709.535156 1683232451.0953
MEM 709.535156 1683232451.1975
MEM 709.535156 1683232451.3001
MEM 709.535156 1683232451.4068
MEM 709.535156 1683232451.5211
